title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Squeezin' The Love Outta You,Redmon & Vale,1999,0,Country,English,squeezin' the love outta you - redmon & vale,0,967807482,A Mother's Journey,TCAEW2027595,2001-09-06,False,0.0,Various Artists,149763822,A Woman's Journey,https://e-cdns-images.dzcdn.net/images/cover/965f907661dbba289efbf72f3286899a/250x250-000000-80-0-0.jpg
Hit The Ground Runnin',Keith Urban,2009,0,Country,English,hit the ground runnin' - keith urban,0,15696719,Hit The Ground Runnin',USCN10900134,2009-03-31,False,128.0,Keith Urban,1450086,Defying Gravity,https://cdns-images.dzcdn.net/images/cover/3f153d9b49a657173245b1b549ab8c8d/250x250-000000-80-0-0.jpg
Broken Vow,Josh Groban,2003,0,"Love,Pop",English,broken vow - josh groban,0,784402,Broken Vow,USRE10301529,2003-11-11,False,110.0,Josh Groban,91814,Closer,https://cdns-images.dzcdn.net/images/cover/5fa38c5787142de66f77dc1226ea217b/250x250-000000-80-0-0.jpg
Goodbye Yellow Brick Road,Sara Bareilles,2013,0,Pop,English,goodbye yellow brick road - sara bareilles,0,71481049,"Goodbye Yellow Brick Road (Live at the Variety Playhouse, Atlanta, GA - May 2013)",USSM11305390,2013-10-22,False,110.2,Sara Bareilles,7020934,Brave Enough: Live at the Variety Playhouse,https://cdns-images.dzcdn.net/images/cover/e19a2cf79c09b332f46228828ab31abe/250x250-000000-80-0-0.jpg
If It Don't Take Two,Shania Twain,1995,0,Country,English,if it don't take two - shania twain,0,2522933,If It Don't Take Two,USPR39402727,2007-08-09,False,111.1,Shania Twain,247405,The Woman In Me,https://e-cdns-images.dzcdn.net/images/cover/b9a6d5147e8b16a498c4e2e5f4acd515/250x250-000000-80-0-0.jpg
Pastime Paradise,Stevie Wonder,1976,0,Soul,English,pastime paradise - stevie wonder,0,538709622,Pastime Paradise,USMO17600972,2018-08-08,False,158.41,Stevie Wonder,70207652,The Definitive Collection,https://e-cdns-images.dzcdn.net/images/cover/36aaf615fe6f66a6778bad4b501be11f/250x250-000000-80-0-0.jpg
I'm Your Angel,Céline Dion,1998,0,"Christmas,Love,Pop,Duet",English,i'm your angel - céline dion,0,0,0,0,0,0,0.0,0,0,0,0
Steam,Ty Herndon,1999,0,Country,English,steam - ty herndon,0,626045,Steam,USSM19907851,2002-05-26,False,101.8,Ty Herndon,78450,This Is Ty Herndon: Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/08bd939d718707d3874f06b432ca5b3c/250x250-000000-80-0-0.jpg
Mine,Beyoncé,2013,0,"R&B,Rap",English,mine - beyoncé,0,90408885,Mine,USSM11307806,2014-11-24,True,103.1,Beyoncé,9163719,BEYONCÉ [Platinum Edition],https://e-cdns-images.dzcdn.net/images/cover/e9348d5c24bdabc41d13222827c2aee1/250x250-000000-80-0-0.jpg
I Don't Wanna Get Hurt,Donna Summer,1989,0,Disco,English,i don't wanna get hurt - donna summer,0,84290409,I Don't Wanna Get Hurt,US6R21474432,2015-02-24,False,119.0,Donna Summer,8490881,Another Place and Time,https://cdns-images.dzcdn.net/images/cover/45b5609c2d0a8c35d9d640390b9a3b54/250x250-000000-80-0-0.jpg
