title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Hold On,Wilson Phillips,1990,0,"80s,Soft rock",English,hold on - wilson phillips,1,3090950,Hold On,USSB29000002,1990-03-24,False,97.7,Wilson Phillips,299314,Wilson Phillips,https://e-cdns-images.dzcdn.net/images/cover/1ec253e4915193b4b11185cea4afd4ca/250x250-000000-80-0-0.jpg
Good As Hell,Lizzo,2016,1,"R&B,Soul",English,good as hell - lizzo,1,120441848,Good as Hell,USAT21600354,2016-03-11,False,95.93,Lizzo,12565898,Good as Hell,https://e-cdns-images.dzcdn.net/images/cover/31ff1555032ae461fe356c87f2c15a35/250x250-000000-80-0-0.jpg
Starman,David Bowie,1972,0,"Rock,Alternative",English,starman - david bowie,1,107471926,Starman (2012 Remaster),USJT11200004,2012-06-04,False,100.59,David Bowie,11205422,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),https://cdns-images.dzcdn.net/images/cover/23bdeda0503dec55e7ba6a9f56d0c3c2/250x250-000000-80-0-0.jpg
When The Saints Go Marching In,Traditional,1750,0,"Blues,Jazz,Traditionnal",English,when the saints go marching in - traditional,1,16716363,When the Saints go marching in,HKI190540301,2015-01-28,False,107.0,(traditional),1566628,"ARMSTRONG, Louis: Jeepers Creepers (1938-1939) (Louis Armstrong, Vol. 5)",https://e-cdns-images.dzcdn.net/images/cover/85643e7e701cdae8a63c07dac581ea94/250x250-000000-80-0-0.jpg
Put Your Records On,Corinne Bailey Rae,2006,0,"Soul,R&B,Pop",English,put your records on - corinne bailey rae,1,3119484,Put Your Records On,GBAYE0501671,2006-02-27,False,95.9,Corinne Bailey Rae,301107,Corinne Bailey Rae,https://e-cdns-images.dzcdn.net/images/cover/395904b0070e13c1edd27a4bd45b7f4f/250x250-000000-80-0-0.jpg
Smoke on the Water,Deep Purple,1973,0,"Hard/Metal,Rock",English,smoke on the water - deep purple,1,14619515,Smoke on the Water,USWB19700125,2001-01-30,False,113.9,Deep Purple,1345762,Machine Head,https://e-cdns-images.dzcdn.net/images/cover/d596a3cb82b9200b0781a02ba4f086bb/250x250-000000-80-0-0.jpg
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,0,"Disco,80s",English,gimme! gimme! gimme! (a man after midnight) - abba,1,0,0,0,0,0,0.0,0,0,0,0
Leavin' On Your Mind,Patsy Cline,1963,0,"Country,Love",English,leavin' on your mind - patsy cline,1,780601742,Leavin' On Your Mind,USMC16212598,2019-10-25,False,0.0,Patsy Cline,115639352,Patsy Cline’s Greatest Hits,https://cdns-images.dzcdn.net/images/cover/1eb62cdc3bbd8ea15432feba185d6a42/250x250-000000-80-0-0.jpg
Follow Me,Uncle Kracker,2001,0,"Country,Rock",English,follow me - uncle kracker,1,3819653,Follow Me,USAT20001583,2000-06-13,True,104.9,Uncle Kracker,356103,Double Wide,https://cdns-images.dzcdn.net/images/cover/4c5cae288ea63e37ea904ac492dea926/250x250-000000-80-0-0.jpg
I Hate Myself For Loving You,Joan Jett,1988,0,"Hard/Metal,Rock",English,i hate myself for loving you - joan jett,1,1056068,I Hate Myself for Loving You,USSM10021818,1988-05-23,False,117.0,Joan Jett and the Blackhearts,114788,Up Your Alley,https://cdns-images.dzcdn.net/images/cover/155f492844c6fd62b33c17467baaa6f8/250x250-000000-80-0-0.jpg
Is This Love,Bob Marley,1978,0,Reggae,English,is this love - bob marley,1,2293791,Is This Love,USIR27800259,2001-08-06,False,122.0,Bob Marley & The Wailers,228718,Kaya,https://e-cdns-images.dzcdn.net/images/cover/6367879e2e914efb1a5e546c7492ca0f/250x250-000000-80-0-0.jpg
I'm The Only One,Melissa Etheridge,1993,0,"Blues,Rock",English,i'm the only one - melissa etheridge,1,1181048,I'm The Only One,USIR19300002,1993-11-17,False,84.2,Melissa Etheridge,126180,Yes I Am,https://e-cdns-images.dzcdn.net/images/cover/b73e0d4e32b14a307e53ee6c3aae45dd/250x250-000000-80-0-0.jpg
Sundown,Gordon Lightfoot,1974,0,Country,English,sundown - gordon lightfoot,1,728701,Sundown,USRE10100582,2005-06-21,False,105.74,Gordon Lightfoot,86807,Rhino Hi-Five: Gordon Lightfoot,https://cdns-images.dzcdn.net/images/cover/41cdb62bf831fdb7b04bd64088cbfbf0/250x250-000000-80-0-0.jpg
Escape (The Piña Colada Song),Rupert Holmes,1979,0,Pop,English,escape (the piña colada song) - rupert holmes,1,417349472,Escape (The Pina Colada Song),USMC17948997,2017-10-20,False,139.67,Rupert Holmes,49842002,Throwback Tunes: 70s,https://cdns-images.dzcdn.net/images/cover/005b5f56db56a271d154365df0edc3ae/250x250-000000-80-0-0.jpg
Roar,Katy Perry,2013,0,"Pop,Dance",English,roar - katy perry,1,71645431,Roar,USUM71308669,2014-01-01,False,179.8,Katy Perry,7040437,PRISM (Deluxe),https://e-cdns-images.dzcdn.net/images/cover/fe781ecd9879a82beed80f6d3e80745b/250x250-000000-80-0-0.jpg
Oh! Susannah,Traditional,1848,0,"Traditionnal,Blues,Jazz",English,oh! susannah - traditional,1,135568928,"Oh, Susannah",DES201211803,2016-11-02,False,0.0,Traditional Old Merry Tale Jazzband,14482848,"Jazz, We Can!",https://e-cdns-images.dzcdn.net/images/cover/ddd207553aaa292cfac5997aa88d2c14/250x250-000000-80-0-0.jpg
Can't Take My Eyes Off Of You,Engelbert Humperdinck,1968,0,"Pop,Love",English,can't take my eyes off of you - engelbert humperdinck,1,0,0,0,0,0,0.0,0,0,0,0
Humble And Kind,Tim McGraw,2016,0,Country,English,humble and kind - tim mcgraw,1,543124842,Humble And Kind,USCJY1518469,2018-08-24,False,151.44,Tim McGraw,71057512,"Big Machine #1's, Volume 2",https://cdns-images.dzcdn.net/images/cover/cd7217d616f57d65d8444e7c622aaafd/250x250-000000-80-0-0.jpg
Help Me Make It Through the Night,Sammi Smith,1970,0,Country,English,help me make it through the night - sammi smith,1,712595322,Help Me Make It Through the Night,USQX90800181,2019-09-06,False,0.0,Sammi Smith,103718872,Country Music - A Film by Ken Burns (The Soundtrack) [Deluxe],https://e-cdns-images.dzcdn.net/images/cover/9150f08d1ac341eab73efc457642a880/250x250-000000-80-0-0.jpg
Say You Won't Let Go,James Arthur,2016,0,Pop,English,say you won't let go - james arthur,1,131742260,Say You Won't Let Go,DEE861600586,2016-09-09,False,95.04,James Arthur,13994984,Say You Won't Let Go,https://cdns-images.dzcdn.net/images/cover/c80a5faa09d5e77071217ad3fcfd699e/250x250-000000-80-0-0.jpg
The Weight,The Band,1968,0,Rock,English,the weight - the band,1,3151487,The Weight,USCA20000789,2000-09-14,False,144.6,The Band,303042,Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/d8e4c014e694a49dfcffdabdfcad76b7/250x250-000000-80-0-0.jpg
Downtown,Petula Clark,1964,0,Soul,English,downtown - petula clark,1,2244056,Downtown,FRZ196400510,2003-04-11,False,119.0,Petula Clark,224268,The Ultimate Petula Clark,https://cdns-images.dzcdn.net/images/cover/3f1f67257658ef02fa475d923f95fb25/250x250-000000-80-0-0.jpg
Mandy,Barry Manilow,1974,0,"Love,Soft rock",English,mandy - barry manilow,1,5404430,Mandy,USAR10601745,2010-02-26,False,104.93,Barry Manilow,494851,70s 100 Hits,https://e-cdns-images.dzcdn.net/images/cover/62049901db5d47b6fafe6474d698a942/250x250-000000-80-0-0.jpg
For What It's Worth,Buffalo Springfield,1967,0,"Rock,Oldies",English,for what it's worth - buffalo springfield,1,2813176,For What It's Worth,USEE10900072,2007-01-29,False,98.7,Buffalo Springfield,273240,The Best of Buffalo Springfield: Retrospective,https://cdns-images.dzcdn.net/images/cover/312f6be0fc9b75a2c04e9f31295df4b4/250x250-000000-80-0-0.jpg
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993,0,"Rock,Love,Hard/Metal",English,i'd do anything for love (but i won't do that) - meat loaf,1,657790022,I'd Do Anything For Love (But I Won't Do That),USMC19341823,2019-04-05,False,0.0,Meat Loaf,92093842,20 #1’s: 90s,https://cdns-images.dzcdn.net/images/cover/c4a755e9870c0603c36cca09ead8ef69/250x250-000000-80-0-0.jpg
San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,1967,0,"Pop,Rock",English,san francisco (be sure to wear flowers in your hair) - scott mckenzie,1,17479907,San Francisco (Be Sure to Wear Flowers In Your Hair),USLIC0601857,2001-10-02,False,113.0,Scott McKenzie,1634886,Forrest Gump - The Soundtrack,https://e-cdns-images.dzcdn.net/images/cover/7923f08236596542918ed3b2247e4086/250x250-000000-80-0-0.jpg
The End of the World,Skeeter Davis,1963,0,"Country,Pop",English,the end of the world - skeeter davis,1,956496,The End of the World,USRC19901069,1999-11-09,False,105.7,Skeeter Davis,101659,Nipper's Greatests Hits 60's Vol. 1,https://e-cdns-images.dzcdn.net/images/cover/245c3b15aa67cd1d0a64a733816ecf56/250x250-000000-80-0-0.jpg
Just A Gigolo / I Ain't Got Nobody,David Lee Roth,1985,0,"Oldies,Jazz",English,just a gigolo / i ain't got nobody - david lee roth,1,763336,Just a Gigolo / I Ain't Got Nobody,USWB10102430,2005-03-15,False,124.9,David Lee Roth,89941,Rhino Hi-Five: David Lee Roth,https://cdns-images.dzcdn.net/images/cover/5c86e07a42d20b4d68a205c1da6c4443/250x250-000000-80-0-0.jpg
Bette Davis Eyes,Kim Carnes,1981,0,80s,English,bette davis eyes - kim carnes,1,3153065,Bette Davis Eyes,USCA28100081,1993-07-12,False,116.5,Kim Carnes,303152,Gypsy Honeymoon,https://e-cdns-images.dzcdn.net/images/cover/a49a8fa4ba167dcb8227edfdab793b91/250x250-000000-80-0-0.jpg
Thunder,Imagine Dragons,2017,0,"Alternative,Rock,Electro",English,thunder - imagine dragons,1,435821802,Thunder,USUM71704167,2017-12-08,False,168.06,Imagine Dragons,52663182,Best Of 2017,https://e-cdns-images.dzcdn.net/images/cover/964acadabc2b6e286ce5e8e5add495a0/250x250-000000-80-0-0.jpg
What's Going On,Marvin Gaye,1971,0,Soul,English,what's going on - marvin gaye,1,11272775,What's Going On,USMO17100041,2011-06-07,False,101.6,Marvin Gaye,1031781,What's Going On - 40th Anniversary (Super Deluxe),https://cdns-images.dzcdn.net/images/cover/ba5cab581c476b020946854f900f5e45/250x250-000000-80-0-0.jpg
Gold Dust Woman,Fleetwood Mac,1977,0,Rock,English,gold dust woman - fleetwood mac,1,67549271,Gold Dust Woman (2004 Remaster),USWB11301120,1977-02-04,False,123.0,Fleetwood Mac,6612817,Rumours (Super Deluxe),https://e-cdns-images.dzcdn.net/images/cover/0199f3f00d23ed0916cf748d9b5d5030/250x250-000000-80-0-0.jpg
Sledgehammer,Peter Gabriel,1986,0,"Soul,Soft rock,Pop",English,sledgehammer - peter gabriel,1,538707842,Sledgehammer (2012 Remaster),GBCPB1200864,1986-05-19,False,0.0,Peter Gabriel,70207382,So (25th Anniversary Deluxe Edition),https://e-cdns-images.dzcdn.net/images/cover/f6cd77dc9aaadd340e1a185ecceed1f1/250x250-000000-80-0-0.jpg
Can't You See,The Marshall Tucker Band,1973,0,Rock,English,can't you see - the marshall tucker band,1,77995908,Can't You See,USSE90320363,1973-08-01,False,164.0,The Marshall Tucker Band,7753868,The Marshall Tucker Band,https://cdns-images.dzcdn.net/images/cover/79b1ed78dac48c81733a30eb99e5b291/250x250-000000-80-0-0.jpg
La Grange,ZZ Top,1973,0,Rock,English,la grange - zz top,1,3667326,La Grange (2005 Remaster),USWB10505222,1992-04-13,False,160.2,ZZ Top,345312,Tres Hombres (Expanded 2006 Remaster),https://e-cdns-images.dzcdn.net/images/cover/560414063903c6d1813245f406a6863f/250x250-000000-80-0-0.jpg
Sailing,Christopher Cross,1980,0,Soft rock,English,sailing - christopher cross,1,4828150,Sailing,USWB19901344,1983-10-19,False,149.8,Christopher Cross,443461,Christopher Cross,https://cdns-images.dzcdn.net/images/cover/9402081bf123f6ce12454e6c4193355d/250x250-000000-80-0-0.jpg
Another One Bites The Dust,Queen,1980,0,Rock,English,another one bites the dust - queen,1,568116022,Another One Bites The Dust,GBUM71029605,2018-10-19,False,109.96,Queen,75620202,Bohemian Rhapsody (The Original Soundtrack),https://cdns-images.dzcdn.net/images/cover/8b8fc5d117f9357b79f0a0a410a170e8/250x250-000000-80-0-0.jpg
Juice,Lizzo,2019,1,"Funk,Pop,Rap",English,juice - lizzo,1,666286232,Juice,USAT21813044,2019-04-19,True,119.84,Lizzo,93850092,Cuz I Love You,https://e-cdns-images.dzcdn.net/images/cover/593cf4239df5504dced88a78f7e2e698/250x250-000000-80-0-0.jpg
Treasure,Bruno Mars,2012,0,"Funk,Pop,Soul",English,treasure - bruno mars,1,62724017,Treasure,USAT21206909,2012-12-07,True,116.1,Bruno Mars,6157080,Unorthodox Jukebox,https://e-cdns-images.dzcdn.net/images/cover/2ae8e9f1714cc6cc9393f7873008f45c/250x250-000000-80-0-0.jpg
Time In A Bottle,Jim Croce,1972,0,Folk,English,time in a bottle - jim croce,1,143040700,Time In a Bottle,GBAJE7200780,1998-04-21,False,133.8,Jim Croce,15484032,The Definitive Croce,https://cdns-images.dzcdn.net/images/cover/5c32ea25c360b97be681c14a052c1664/250x250-000000-80-0-0.jpg
Rescue,Lauren Daigle,2018,0,"Love,Christian,Pop",English,rescue - lauren daigle,1,613420922,Rescue,US8391800166,2018-09-07,False,99.86,Lauren Daigle,83580292,Look Up Child,https://e-cdns-images.dzcdn.net/images/cover/4af8c859d4bab1e84cd7c0b1d41368ac/250x250-000000-80-0-0.jpg
Rock This Town,The Stray Cats,1981,0,Rock 'n Roll,English,rock this town - the stray cats,1,1943941,Rock This Town,USA560627071,2007-02-13,False,115.0,The Stray Cats,197914,Forever Gold (Live),https://e-cdns-images.dzcdn.net/images/cover/8000ff9b8d57a84e545b213561746be6/250x250-000000-80-0-0.jpg
Crazy Train,Ozzy Osbourne,1980,0,Hard/Metal,English,crazy train - ozzy osbourne,1,12000038,Crazy Train,USSM11002845,1980-09-12,False,137.81,Ozzy Osbourne,1100619,Blizzard of Ozz (Expanded Edition),https://cdns-images.dzcdn.net/images/cover/12747c8249069b83ceb9bf4bde3036c9/250x250-000000-80-0-0.jpg
Chiquitita,ABBA,1978,0,Disco,English,chiquitita - abba,1,884038,Chiquitita,SEAYD7901080,2008-06-02,False,168.1,ABBA,100323,ABBA Gold,https://e-cdns-images.dzcdn.net/images/cover/b8b70d474b7a8f27799e0d665e9b737e/250x250-000000-80-0-0.jpg
Songbird,Eva Cassidy,1998,0,Soft rock,English,songbird - eva cassidy,1,2852937,Songbird,USA449845005,2006-08-01,False,154.3,Eva Cassidy,277057,Songbird,https://cdns-images.dzcdn.net/images/cover/be187afe2efdb2d31e3e009f6f83e168/250x250-000000-80-0-0.jpg
The Logical Song,Supertramp,1979,0,"Pop,Rock",English,the logical song - supertramp,1,2503274,The Logical Song,USAM19500624,1992-11-16,False,119.5,Supertramp,246049,Supertramp - The Very Best Of,https://cdns-images.dzcdn.net/images/cover/6e982953fde60522577ef2958a17faa2/250x250-000000-80-0-0.jpg
Cocaine Blues,Johnny Cash,1968,0,Country,English,cocaine blues - johnny cash,1,75299641,"Cocaine Blues (Live at Folsom State Prison, Folsom, CA - January 1968)",USSM11202082,1968-05-01,False,121.2,Johnny Cash,7452568,At Folsom Prison,https://cdns-images.dzcdn.net/images/cover/3348de529f0c5405c0002434599f12ed/250x250-000000-80-0-0.jpg
What's Love Got To Do With It,Tina Turner,1984,0,"Pop,Love",English,what's love got to do with it - tina turner,1,3120266,What's Love Got to Do with It,USCA28400002,2008-02-05,False,97.7,Tina Turner,301146,All the Best - the Hits,https://cdns-images.dzcdn.net/images/cover/7b5022390f35e035d14edd5e0d6cfb92/250x250-000000-80-0-0.jpg
The Wanderer,Dion,1961,0,"Oldies,Rock",English,the wanderer - dion,1,3121437,The Wanderer,USLA18800001,0000-00-00,False,115.8,Dion,301219,The Best Of Dion & The Belmonts,https://e-cdns-images.dzcdn.net/images/cover/9d2aa35789c8d65304386b821617f0aa/250x250-000000-80-0-0.jpg
No Matter What,Boyzone,1998,0,"Teen pop,Pop,Love",English,no matter what - boyzone,1,527308631,No Matter What,GBAKW9800269,2018-07-13,False,92.7,Boyzone,68177171,The Love Songs Collection,https://e-cdns-images.dzcdn.net/images/cover/4b2c98a47655b05510eefb243f80125d/250x250-000000-80-0-0.jpg
Sing Me Back Home,Merle Haggard,1968,0,Country,English,sing me back home - merle haggard,1,3145039,Sing Me Back Home,USCN18900033,2007-07-02,False,110.2,Merle Haggard & The Strangers,302744,The Very Best Of Merle Haggard,https://cdns-images.dzcdn.net/images/cover/1cd7e182cde50fce4b7b12c6a83813c7/250x250-000000-80-0-0.jpg
Swinging Doors,Merle Haggard,1966,0,Country,English,swinging doors - merle haggard,1,67360050,Swinging Doors,USJGN0700176,2013-05-14,False,123.05,Merle Haggard,6586523,Honky Tonk Jukebox,https://e-cdns-images.dzcdn.net/images/cover/7070b0b477b620b913da1b7af26fda25/250x250-000000-80-0-0.jpg
Manic Monday,The Bangles,1986,0,Pop,English,manic monday - the bangles,1,608749,Manic Monday,USSM10017495,2003-04-23,False,121.2,The Bangles,77161,The Essential Bangles,https://e-cdns-images.dzcdn.net/images/cover/938d17e5a07d6178bcabbe2349a79ba0/250x250-000000-80-0-0.jpg
Smoke Gets In Your Eyes,The Platters,1958,0,"Oldies,Rock",English,smoke gets in your eyes - the platters,1,44974361,Smoke Gets In Your Eyes,DEBL61018627,2013-05-14,False,111.0,The Platters,4437351,The Platters - Smoke Gets In Your Eyes - Bets Of (MP3 Compilation),https://e-cdns-images.dzcdn.net/images/cover/4ae232f8ca9c213007e77b13b09af8cf/250x250-000000-80-0-0.jpg
Run,Leona Lewis,2008,0,"Pop,Soft rock",English,run - leona lewis,1,106415322,Run,GBHMU0800023,2015-09-04,False,142.1,Leona Lewis,11096840,Sing Me to Sleep,https://e-cdns-images.dzcdn.net/images/cover/2aa6cc3387d8a1d5cf190ca10056532f/250x250-000000-80-0-0.jpg
Somebody That I Used To Know,Gotye,2011,0,"Alternative,Soft rock,Duet",English,somebody that i used to know - gotye,1,119615552,Somebody That I Used To Know,AUZS21100040,2012-01-20,False,128.8,Gotye,12461156,Making Mirrors,https://e-cdns-images.dzcdn.net/images/cover/99447608a95fbc873fcd69c553e88e10/250x250-000000-80-0-0.jpg
Into The Mystic,Van Morrison,1970,0,"Country,Rock",English,into the mystic - van morrison,1,71444767,Into the Mystic (2013 Remaster),USWB11302507,2013-10-18,False,173.0,Van Morrison,7016051,Moondance (Deluxe Edition),https://e-cdns-images.dzcdn.net/images/cover/64a9a334a87dfdb37adfef8ba9bf45f5/250x250-000000-80-0-0.jpg
Nights in White Satin,The Moody Blues,1967,0,"Rock,Pop",English,nights in white satin - the moody blues,1,366450991,Nights In White Satin,GBA176700080,2017-06-02,False,159.01,The Moody Blues,42219371,Nights In White Satin,https://cdns-images.dzcdn.net/images/cover/ab19dfe1340d810a1146a16f5230b3c6/250x250-000000-80-0-0.jpg
The Reason,Hoobastank,2004,0,"Pop,Soft rock",English,the reason - hoobastank,1,130688242,The Reason,USIR20300627,2016-08-19,False,166.04,Hoobastank,13867324,20 #1’s: 00s,https://e-cdns-images.dzcdn.net/images/cover/87777ae63f52cc19713e7b22c1169a79/250x250-000000-80-0-0.jpg
It Must Have Been Love,Roxette,1989,0,"Love,Pop",English,it must have been love - roxette,1,3098301,"It Must Have Been Love (From the Film ""Pretty Woman"")",SEAMA8777131,2011-07-26,False,161.5,Roxette,299784,The Ballad Hits,https://e-cdns-images.dzcdn.net/images/cover/04a8fc1d885619f9418aab478cccf881/250x250-000000-80-0-0.jpg
The Way We Were,Barbra Streisand,1975,0,Soft rock,English,the way we were - barbra streisand,1,626294,The Way We Were,USSM10024187,2002-01-29,False,139.7,Barbra Streisand,78176,The Essential Barbra Streisand,https://cdns-images.dzcdn.net/images/cover/e27ca5bbf16094af0a93b2efcc03c5a7/250x250-000000-80-0-0.jpg
"Sugar, Sugar",The Archies,1969,0,"Pop,Oldies",English,"sugar, sugar - the archies",1,1382508,Sugar Sugar,USA370675527,2006-09-20,False,122.0,The Archies,141909,Absolutely The Best Of The Archies,https://cdns-images.dzcdn.net/images/cover/c0ec29b39cefc20237fcc343eb2bf19c/250x250-000000-80-0-0.jpg
Learn To Fly,Foo Fighters,1999,0,"Rock,Alternative",English,learn to fly - foo fighters,1,4311599,Learn to Fly,USRW39900002,2009-10-30,False,136.0,Foo Fighters,401032,Greatest Hits,https://cdns-images.dzcdn.net/images/cover/266f01f1c7a04843d11cd08f9c07d11f/250x250-000000-80-0-0.jpg
Sugar,Maroon 5,2014,1,"Pop,Funk,Rock",English,sugar - maroon 5,1,100004590,Sugar,USUM71410340,2015-05-15,True,119.8,Maroon 5,10239058,V (Deluxe),https://cdns-images.dzcdn.net/images/cover/f0a1d4442389bcd7919a7054f8c0b785/250x250-000000-80-0-0.jpg
Killing In The Name,Rage Against the Machine,1992,1,"Hard/Metal,Alternative,Rock,Rap",English,killing in the name - rage against the machine,1,62082829,Killing In The Name,USSM11205433,2012-11-26,True,163.41,Rage Against the Machine,6088193,Rage Against The Machine - XX (20th Anniversary Special Edition),https://e-cdns-images.dzcdn.net/images/cover/93ec8d0abefeb944ace9e777e30c0b5f/250x250-000000-80-0-0.jpg
She Will Be Loved,Maroon 5,2004,0,"Love,Pop",English,she will be loved - maroon 5,1,1165303,She Will Be Loved,USJAY0300082,2007-06-21,False,102.1,Maroon 5,124797,Songs About Jane,https://e-cdns-images.dzcdn.net/images/cover/39fe38574c7af3181d1e56ad7c03fce3/250x250-000000-80-0-0.jpg
Listen To The Music,The Doobie Brothers,1972,0,"Folk,Rock",English,listen to the music - the doobie brothers,1,775032,Listen to the Music (Single Version; 2006 Remaster),USWB10604240,2012-07-20,False,106.0,The Doobie Brothers,90937,The Very Best Of,https://cdns-images.dzcdn.net/images/cover/ebaa6680a6945eb476b7e84e35c12507/250x250-000000-80-0-0.jpg
Wichita Lineman,Glen Campbell,1968,0,Country,English,wichita lineman - glen campbell,1,3167218,Wichita Lineman,USCN10100759,2001-10-09,False,168.1,Glen Campbell,304166,Wichita Lineman (Remastered),https://cdns-images.dzcdn.net/images/cover/33007e27ddad7c9b78726bbddf985523/250x250-000000-80-0-0.jpg
The Story,Brandi Carlile,2007,0,Soft rock,English,the story - brandi carlile,1,73156488,The Story,USSM10607485,2007-04-03,False,93.5,Brandi Carlile,7198771,The Story,https://e-cdns-images.dzcdn.net/images/cover/9f5a321718a4fe9bb254773a92dc7311/250x250-000000-80-0-0.jpg
Lover,Taylor Swift,2019,0,Pop,English,lover - taylor swift,1,0,0,0,0,0,0.0,0,0,0,0
Everlong,Foo Fighters,1997,0,"Rock,Alternative",English,everlong - foo fighters,1,4762041,Everlong,USRW29600011,2009-10-30,False,157.8,Foo Fighters,401032,Greatest Hits,https://cdns-images.dzcdn.net/images/cover/266f01f1c7a04843d11cd08f9c07d11f/250x250-000000-80-0-0.jpg
Piece Of My Heart,Janis Joplin,1968,0,"Soul,Rock",English,piece of my heart - janis joplin,1,15613151,Piece of My Heart,USSM16800982,2003-01-14,False,160.87,Janis Joplin,1442427,The Essential Janis Joplin,https://cdns-images.dzcdn.net/images/cover/6ee9433921eec3a729d4cf33bf9ac870/250x250-000000-80-0-0.jpg
Super Trouper,ABBA,1980,0,"Disco,Pop",English,super trouper - abba,1,884033,Super Trouper,SEAYD8001010,2008-06-02,False,117.8,ABBA,100323,ABBA Gold,https://cdns-images.dzcdn.net/images/cover/b8b70d474b7a8f27799e0d665e9b737e/250x250-000000-80-0-0.jpg
Sharp Dressed Man,ZZ Top,1983,0,"Rock,Hard/Metal",English,sharp dressed man - zz top,1,2134001,Sharp Dressed Man (2008 Remaster),USWB10702682,1992-04-13,False,125.3,ZZ Top,214004,Eliminator,https://e-cdns-images.dzcdn.net/images/cover/706d994a9b906b857db6869183c30274/250x250-000000-80-0-0.jpg
Only You,Yazoo,1982,0,80s,English,only you - yazoo,1,6638658,Only You,GBAJH9900151,1999-09-03,False,106.01,Yazoo,613920,The Best Of,https://cdns-images.dzcdn.net/images/cover/0e9864afff9b1d434d5c0fe24db5e32e/250x250-000000-80-0-0.jpg
Rosanna,Toto,1982,0,"Pop,Rock",English,rosanna - toto,1,1079628,Rosanna,USSM18200245,1982-04-08,False,166.04,Toto,116670,Toto IV,https://cdns-images.dzcdn.net/images/cover/153332e88a14255a8c3d5959a5a21882/250x250-000000-80-0-0.jpg
Lucille,Little Richard,1957,0,Rock 'n Roll,English,lucille - little richard,1,2203637,Lucille,USC4R0817287,2008-09-11,False,0.0,Little Richard,220319,"The Very Best Of ""Little Richard""",https://cdns-images.dzcdn.net/images/cover/7a8845af9cf95048268afed67b180932/250x250-000000-80-0-0.jpg
All You Need Is Love,The Beatles,1967,0,"Pop,Soft rock",English,all you need is love - the beatles,1,116348626,All You Need Is Love,GBUM71505889,2015-12-24,False,104.14,The Beatles,12047956,1 (Remastered),https://cdns-images.dzcdn.net/images/cover/c65b3bd84e81056e060be144381c06c8/250x250-000000-80-0-0.jpg
Holding Back The Years,Simply Red,1985,0,"Pop,Soul,Soft rock",English,holding back the years - simply red,1,2477001,Holding Back the Years (2008 Remaster),GBCRL0800119,1985-10-11,False,86.0,Simply Red,243409,Picture Book (Expanded Version),https://e-cdns-images.dzcdn.net/images/cover/2030cf7bbb1ed65712a2b567f24029a5/250x250-000000-80-0-0.jpg
"Bad Case of Loving You (Doctor, Doctor)",Robert Palmer,1979,0,Rock,English,"bad case of loving you (doctor, doctor) - robert palmer",1,540501292,"Bad Case Of Loving You (Doctor, Doctor)",USIR27900020,2018-08-17,False,146.09,Robert Palmer,70550702,Best Of Classic Rock,https://cdns-images.dzcdn.net/images/cover/a6358007fe670b5e459aa62b2c9748db/250x250-000000-80-0-0.jpg
Material Girl,Madonna,1984,0,80s,English,material girl - madonna,1,723861,Material Girl,USWB19903822,1990-11-09,False,134.7,Madonna,86371,The Immaculate Collection,https://e-cdns-images.dzcdn.net/images/cover/329c772be6103678d4c53c43d293cd51/250x250-000000-80-0-0.jpg
Everybody (Backstreet's Back),Backstreet Boys,1997,0,"Pop,Teen pop,Dance",English,everybody (backstreet's back) - backstreet boys,1,90630493,Everybody (Backstreet's Back) (Radio Edit),USJI19710083,1997-10-09,False,107.95,Backstreet Boys,9188115,90s 100 Hits,https://cdns-images.dzcdn.net/images/cover/23200f2a6cecb3df661cd187a6889dba/250x250-000000-80-0-0.jpg
Like a Virgin,Madonna,1984,0,Pop,English,like a virgin - madonna,1,4209635,Like a Virgin,USWB10903604,1990-11-09,False,119.8,Madonna,392083,Celebration (double disc version),https://cdns-images.dzcdn.net/images/cover/195d3d2c1196b20711cfb6ad76e1c2ba/250x250-000000-80-0-0.jpg
Fallin',Alicia Keys,2001,0,"Soul,R&B",English,fallin' - alicia keys,1,12343214,Fallin',USJAY0100057,2001-06-05,False,95.93,Alicia Keys,1134203,Songs In A Minor (Expanded Edition),https://cdns-images.dzcdn.net/images/cover/486112c62cf12d89053807b4e6f83318/250x250-000000-80-0-0.jpg
Me and Mrs. Jones,Billy Paul,1972,0,"Soul,Jazz",English,me and mrs. jones - billy paul,1,82321678,Me and Mrs. Jones,USSM17200413,1999-04-06,False,100.8,Billy Paul,8258690,Me And Mrs. Jones: The Best Of Billy Paul,https://cdns-images.dzcdn.net/images/cover/ada0e9ed5f3e01c4fde4cbefd8c71c8c/250x250-000000-80-0-0.jpg
